C12=C[Co]134567(C8C4C5C6C87)C=C3COC2	native	1
[Br][Hg-2]1([Br])[N+]2=CC=CC=C2C2=CC=C3C=CC=NC3=[N+]21	native	1
CC(C)(C)[N+]12CC3=CC(Cl)=CC4=[N+]3[Co-4]13([O][N+](=O)[O-])([O][N+](=O)[O-])[N+]1=C(C=C(Cl)C=C1C[N+]3(C(C)(C)C)C4)C2	native	1
C[P+](C)(C1=CC=CC=C1)[Pt-2]1([P+](C)(C)C2=CC=CC=C2)[N]=S=NS[N]1S(N)(=O)=O	native	1
C[N+]1(CC2=CC=CC=C2)CC[N+](C)(CC2=CC=CC=C2)[Pd-2]1([Cl])[Cl]	native	1
NC1=NC(N)=[N+]2C(=N1)C1=CN=CC=[N+]1[Ag-3]21[N+]2=CC=NC=C2C2=NC(N)=NC(N)=[N+]21	native	1
[OH2+][Fe-3]1([Cl])([Cl])([Cl])[N+]2=CC=CC=C2C2=CC=CC=[N+]21	native	1
CN1C=CN2[BH-]3N4C=CN(C)C4=[S+][W-2]([C]#[O+])([C]#[O+])([C-2]C#CC(C)(C)C)([S+]=C12)[S+]=C1N(C)C=CN31	native	1
CC1=CC=C([P+]2(C3=CC=C(C)C=C3)CC[P+](C3=CC=C(C)C=C3)(C3=CC=C(C)C=C3)[Pd-2]2([Cl])[Cl])C=C1	native	1
CC1=CC(C)=C(N2C=CN(C)C2=[N][Hf]([CH2]C2=CC=CC=C2)([CH2]C2=CC=CC=C2)[CH2]C2=CC=CC=C2)C(C)=C1	native	1
CSC1=CC=C(N2C=CN(CC3=CC=CC=C3)[C]2[Au+][C]2N(CC3=CC=CC=C3)C=CN2C2=CC=C(SC)C=C2)C=C1	native	1
CC(=O)N1CN2CN(C(C)=O)C[P+]([Cr-6]([C]#[O+])([C]#[O+])([C]#[O+])([C]#[O+])[C]#[O+])(C2)C1	native	1
CCN(CC)C1=CC=C2C=[N+](C3=CC=C([N+](=O)[O-])C=C3)[Co-2]3([O]C2=C1)[O]C1=CC(N(CC)CC)=CC=C1C=[N+]3C1=CC=C([N+](=O)[O-])C=C1	native	1
C[S+]1CC[S+](CC(=O)C2CCC3C4CCC5=CC(=O)CCC5(C)C4CCC23C)[Tc-5]1([Cl])([C]#[O+])([C]#[O+])[C]#[O+]	native	1
N#C[Cr+]123([NH]4CCC[NH]1CC[NH]2CCC[NH]3CC4)C#N	native	1
CCC1=C(CC)C2=CC3=[N+]4C(=CC5=C(CC)C(CC)=C6C=C7C(CC)=C(CC)C8=[N+]7[Ru-2]4([N]=O)([O]N=[N+]([O-])C(C)(C)C)([N]2C1=C8)[N]65)C(CC)=C3CC	native	1
CC(C)(C)[N]1CC[N](C(C)(C)C)[Hf]12[N](C(C)(C)C)CC[N]2C(C)(C)C	native	1
CC1CC[NH+]2C3CCCCC3[NH+]3C(C)CC[NH+]4C5CCCCC5[NH+]1[Ag-2]423	native	1
N#CC1=C(F)C(F)=C(C2=C(C3=CC=CC=C3)[C+]34->[Ru-6]56789([Cl])([C]2=N[P](C2=CC=CC=C2)(C2=CC=CC=C2)C[P+]5(C2=CC=CC=C2)C2=CC=CC=C2)[C+]([C+]6[C+]37)[C+]8[C+]49)C(F)=C1C#N	embed-failed	0
[Cl][Rh-5]123([Cl])<-[C+]4=[C+]->1CC[C+]->2=[C+]->3CC4	native	2
CC(C)[C+]12->[Os-7]34567([Cl])(<-[C+](C)([C+]3[C+]14)[C+]5[C+]26)[N](C1=CC=C(C(=O)O)C(O)=C1)C(=O)C1=CC=CC=[N+]17	native	1
[OH2+][Zn-6]12([OH2+])([O][N+]3=CC=CC=C3C3=NN=N[N]31)[O][N+]1=CC=CC=C1C1=NN=N[N]12	native	1
CC[O][V]12([O-])[O]C3=CC=C([N+](=O)[O-])C=C3C=[N+]1N=C(C1=CC=CC=C1O)[O]2	native	4
O=C1C[N]2(CC(O3)=O)[C@H](CCCC4)[C@@H]4[N](CC(O5)=O)(CC(O6)=O)[Cr]2356O1	native	1
CC(C)(C)[P+](I)(C[Si](C)(C)[N]1[Si](C)(C)C[P+](C(C)(C)C)(C(C)(C)C)[Co-2]1([I])[I])C(C)(C)C	native	1
C[N+]#[C][Mo-5]1([C]#[N+]C)([C]#[N+]C)([C]#[N+]C)([C]#[N+]C)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C[P+]1(C1=CC=CC=C1)C1=CC=CC=C1	native	1
CC1=CC(C2=CC=CC=C2)=[N+]2N1[BH-]1N3C(C)=CC(C4=CC=CC=C4)=[N+]3[Mn-2]2([CH2][Si](C)(C)C)[N+]2=C(C3=CC=CC=C3)C=C(C)N12	native	1
C[N+]12CC[O][Ti-2]134([O]CC[N+]3(C)C1CCCCC1[O]4)[O]C1CCCCC12	native	1
O=S(O[Sc](OS(=O)(C(F)(F)F)=O)(OS(=O)(C(F)(F)F)=O)(OS(=O)(C(F)(F)F)=O)(O)O[Fe-3]123[N@@+]4(C)CCC[N@@+]1(CC[N@@+]2(CCC[N@+]3(C)CC4)C)C)(C(F)(F)F)=O	native	2
CCN(CC)C1=CC=C2C=[N+](C3=CC=C([N+](=O)[O-])C=C3)[Ni-2]3([O]C2=C1)[O]C1=CC(N(CC)CC)=CC=C1C=[N+]3C1=CC=C([N+](=O)[O-])C=C1	native	1
[O+]#C[Re-5]1(C#[O+])([N+]2=CC=C(C=C2)C3=CC=[N+](C=C3)C4=CC=CC=C4)([N+]5=CC=CC=C5C6=CC=CC=[N+]61)C#[O+]	native	1
[I][Cd-3]123[N+](=CC4=CC=CC=[N+]41)CCC[N+]2=CC1=CC=CC=[N+]13	native	1
N#CCC1=[O+][Cd-4]2([O][N+](=O)[O-])([O][N+](=O)[O-])([O+]=C(CC#N)NCC3=CC=CC=[N+]32)[N+]2=CC=CC=C2CN1	native	1
CC(C)[P+]1(C(C)C)CC2=CC=CC3=[C]2[NiH-2]1[P+](C(C)C)(C(C)C)C3	native	2
[O-]C1=CC2=[S][Ni]3([S]C4=C(C=C(O)C(O)=C4)[S]3)[S]=C2C=C1O	native	1
[O+]#[C][Ir-5]12([C]#[O+])(<-[C+]3=[C+]->1CC[CH]2CCC3)[As+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	native	1
CCN(CC)C1=CC=C2C=[N+](C3=CC=C([N+](=O)[O-])C=C3)[Cu-2]3([O]C2=C1)[O]C1=CC(N(CC)CC)=CC=C1C=[N+]3C1=CC=C([N+](=O)[O-])C=C1	native	1
[BH3-]C#[N+][Cr-6]([C]#[O+])([C]#[O+])([C]#[O+])([N+]#C[BH3-])[N+]#C[BH3-]	native	1
[Br][Hg-2]1([Br])[N+]2=CC=CC=C2N(C2=CC=CC=N2)C2=CC=CC=[N+]21	native	1
ClC1=CC(Cl)=C2[O][Ti-2]3456[O]C7=C(Cl)C=C(Cl)C=C7C[N+]3(CC[N+]4(CC3=CC(Cl)=CC(Cl)=C3[O]5)CC3=CC(Cl)=CC(Cl)=C3[O]6)CC2=C1	native	1
[O-]C(=[S+][Cu-3]([S+]=C(O)C1=CC=CS1)([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CO1	native	1
C[Si](C)(C)[CH2][Re+]([O-])([CH]=C[P](C)(C)C)([CH2][Si](C)(C)C)[CH2][Si](C)(C)C	native	7
C[CH2][Ta-]123([CH3])[N]([Si](C)(C)C)CC[N+]1(CC[N]2[Si](C)(C)C)CC[N]3[Si](C)(C)C	native	1
CC1=[N+]2[BH-]3[N+]4=C(C)C=C(C(C)(C)C)[N]4[V-3]([Cl])([C]#[N+]C45CC6CC(CC(C6)C4)C5)([N]2C(C(C)(C)C)=C1)[N]1C(C(C)(C)C)=CC(C)=[N+]31	native	1
COC(=O)C1=[C](C(=O)OC)[Ir-3]23([C]#[O+])([CH](C(=O)OC)C1C(=O)OC)[N]1C(C)=CC(C)=[N+]1[BH-]([N+]1=C(C)C=C(C)[N]12)[N+]1=C(C)C=C(C)[N]13	native	1
CC1(C)N(O)C2=[N+](C1(C)C)[Hg-4]1([O][N+](=O)[O-])([O][N+](=O)[O-])([N+]3=C2SC=C3)[N+]2=C(SC=C2)C2=[N+]1C(C)(C)C(C)(C)N2O	native	1
C[N](C)[Ta]1([N](C)C)([N](C)C)[CH2][Si](C)(C)[N]1[Si](C)(C)C	native	1
CN=[C-][Mn-]([Br])([C]#[O+])([C]#[O+])([C]#[O+])[C-]=NC	native	1
CC1=[N+]2CC[N+]34CC[NH2+][Fe-3]23([NH2+]CC4)[S]C1(C)C	native	1
C[P+](C)(C)[Re-5]1([P+](C)(C)C)([P+](C)(C)C)([P+](C)(C)C)[CH2][P+]1(C)C	native	1
