CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CN1C=CN2CN3C=CN(C)[C+]3[Pt-2]([CH3])([CH3])[C+]12	chelate_all_configs_failed	square_planar
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC1=[N+]([O])[Rh-4]23([I])([I])[N+](O)=C(C)C(C)=[N+]2CCC[N+]3=C1C	chelate_all_configs_failed	octahedron
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
[O+]#[C][Mn-5]1([Br])([C]#[O+])([C]#[O+])[N+](CCO)=CC2=CC=CC=[N+]21	chelate_all_configs_failed	octahedron
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
[Cl][Mo-3]1([Cl])([Cl])([Cl])[N+]2=CC=CC=C2C2=CC=CC=[N+]21	chelate_all_configs_failed	octahedron
CC[P+](CC)(CC)[Pt-2]([Br])([C]1=C(F)C(F)=C(C=CC2=CC=NC=C2)C(F)=C1F)[P+](CC)(CC)CC	self_gate_failed	cn=4 geom=SP-4 square planar
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH+]([Cl])([C-2]C1=CC=CC=C1)[P+](C(C)C)(C(C)C)C(C)C	assemble_exception	Can't kekulize mol.  Unkekulized atoms: 13 14 28
C[P+]1(C)CC[P+](C)(C)[Fe-4]12([Cl])([Cl])[P+](C)(C)CC[P+]2(C)C	chelate_all_configs_failed	octahedron
[O+]#[C][Re-5]1([Br])([C]#[O+])([C]#[O+])[N+]2=CC=CC=C2N2C=NC=[N+]21	chelate_all_configs_failed	octahedron
[Br][Ni-2]12[N]3C=CC=C3C=[N+]1CC1=CC=CC=[N+]12	f1_structqual_rejected	extra_fragments(5 comps, sizes=[12, 1, 1, 1, 1])
[Br][Ni-2]12[N]3C=CC=C3C=[N+]1CC1=CC=CC=[N+]12	chelate_all_configs_failed	square_planar
[Cl][Mn-5]1234([Cl])[NH+]5CC[NH+]1CC[NH+]2CC[NH+]3CC[NH+]4CC5	chelate_all_configs_failed	pentagonal_bipyramid
[N]12=CC=NC=C1C(C=NC=C3)=[N]3[Ru+2]24([N]5=CC=NC=C5C6=[N]4C=CN=C6)([N]7=CC=NC=C78)[N]9=C8C=NC=C9	chelate_all_configs_failed	octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
[O-][Cl+3]([O-])([O-])[O][Cd-5]1234([OH2+])[S+]5CC[S+]1CC[S+]2CC[S+]3CC[S+]4CC5	chelate_all_configs_failed	pentagonal_bipyramid
CC[P+](CC)(CC)[Mo-4]1([C]#[O+])([C]#[O+])([P+](CC)(CC)CC)[O]C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2[O]1	chelate_all_configs_failed	octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
C[C+]12->[Ru-5]3456([Cl])([C-]=C=C(C7=CC=CC=C7)C7=CC=CC=C7)(<-[C+](C)([C+]13)[C+]4[C+]->5(C)[C+]26)[P+](CP(=NC1=C(F)C(F)=NC(F)=C1F)(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	ligand_too_large	nheavy=38 denticity=1 cap=30
[O-][Re+]1([O-])([O-])([Cl])[N+]2=CC=CC3=CC=C4C=CC=[N+]1C4=C32	chelate_all_configs_failed	octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)[P+]1(C(C)C)CC[N+](C)(C)[Ni-2]1([F])[C]1=NC(F)=C(F)C=C1F	chelate_all_configs_failed	square_planar
CC(C)(C)[P+]1(C(C)(C)C)C=C2C=CC=C3C[P+](C(C)(C)C)(C(C)(C)C)[Ir-3]1([C]#[O+])[N]23	chelate_all_configs_failed	square_planar
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(C)[C+]12->[Ru-7]345678(<-[C+](C)([C+]3[C+]14)[C+]5[C+]26)[S+]=C1N(C)C=CN1[B-](N=C=S)(N1C=CN(C)C1=[S+]7)N1C=CN(C)C1=[S+]8	chelate_all_configs_failed	tetrahedron
C[N+]1(C)CC2=CC=CC=[C]2[Au-]12[O]C(=O)C(CC(=O)O)[S]2	chelate_all_configs_failed	square_planar
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
CC(=O)OCC1O[CH]([Ir-3]([Cl])([Br])([C]#[O+])([P+](C)(C)C)[P+](C)(C)C)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O	self_gate_failed	cn=6 geom=OC-6 octahedron
O=C(NCCC[N]1C(=O)C2=CC=CC=[N+]2[Au-]1([Cl])[Cl])C1=CC=CC=N1	chelate_all_configs_failed	square_planar
CC(C)C1=CC=CC(C(C)C)=C1N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)[C+]1[OsH-7]12345([Cl])<-[C+]6(C)[C+]1[C+]2[C+]->3(C(C)C)[C+]4[C+]65	chelate_all_configs_failed	tricapped_trigonal_prism
CCN(CC)C1=CC=C2C(=C1)OC1=CC(=[N+](CC)CC)C=CC1=C2C1=CC=CC=C1C(=O)[O][Zn-2]([OH2+])([Cl])[Cl]	ligand_too_large	nheavy=33 denticity=1 cap=30
O=C1C=C2C(=O)[O][Ni-4]3([OH2+])([OH2+])([NH2+]CCC[NH2+]3)[N]2C(=O)N1	chelate_all_configs_failed	octahedron
[O+]#[C][RuH-4]12([P+](C3=CC=CC=C3)(C3=CC=CC=C3)CCC[P+]1(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)CCC[P+]2(C1=CC=CC=C1)C1=CC=CC=C1	chelate_all_configs_failed	octahedron
CC1=NC=CC2=[N+]1[Ni-3]([OH2+])([Cl])([Cl])[N+]1=C(C)N=CC=C21	chelate_all_configs_failed	trigonal_bipyramid
C[S+]1C[Si]2(C)C[S+](C)[Cr-6]1([C]#[O+])([C]#[O+])([C]#[O+])[S+](C)C2	chelate_all_configs_failed	octahedron
[NH3+][Co-3]1([NH3+])([NH3+])([NH3+])[O]P(=O)(O)CP(=O)(O)[O]1	chelate_all_configs_failed	octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
C[N](C)[Zr-]([N](C)C)([N](C)C)([Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC#[N+][W-5]1([Br])([Br])([C]#[O+])(<-[C+]#[C+]->1)[N+]#CC	chelate_all_configs_failed	pentagonal_bipyramid
CC(C)(C)N1C=CN2C3=CC=CC=[N+]3[Ru-2]([Cl])([Cl])([Cl])([N]=O)[C+]21	chelate_all_configs_failed	octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
C[N](C)[Zr-]([N](C)C)([N](C)C)([Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
N#[C][Cd-6]12345([C]#N)[O+]6CC[O+]1CC[O+]2CC[O+]3CC[O+]4CC[O+]5CC6	chelate_all_configs_failed	square_antiprism
[I][Ni-2]([I])([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=4 geom=SP-4 square planar
[O+]#[C][Pd-2]([Br])([Br])[Br]	self_gate_failed	cn=4 geom=SP-4 square planar
COC1=[O+][Cd-5]2([OH2+])([OH2+])([OH2+])([NH2+]N1)[NH2+]NC(OC)=[O+]2	chelate_all_configs_failed	pentagonal_bipyramid
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1(C)CC(C)(C)C2=N[N+]3=C(N=C21)C1=CC=C2C=CC4=CC=C5C6=NC7=C(N=[N+]6[Y-7]3689%10([O][N+](=O)[O]6)([O][N+](=O)[O]8)([O][N+](=O)[O]9)[N+]5=C4C2=[N+]1%10)C(C)(C)CC7(C)C	geom_not_in_polya_groups	BICAP-10 bicapped square antiprism
CO[P]1(OC)[S][Co-]2([Cl])(<-[S-]1)[S]P(OC)(OC)=[S+]2	chelate_all_configs_failed	trigonal_bipyramid
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
O=C1[O][Rh-3]([Cl])([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)[O]C1=O	f1_structqual_rejected	extra_fragments(2 comps, sizes=[24, 2])
CC1=[N+]2CC[NH2+][Cr-3]2([Cl])([Cl])[N+]2=CC=NC=C12	chelate_all_configs_failed	trigonal_bipyramid
[O+]#[C][Ru-4]([C]#[O+])([S]C1=NC2=CC=CC=C2S1)([S]C1=NC2=CC=CC=C2S1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
O=C1C[N]2C(=O)C[NH2+][Cr-3]234([NH2+]CC(=O)[N]3CC(=O)[O]4)[O]1	chelate_all_configs_failed	octahedron
[O+]#[C][Ru-4]([C]#[O+])([S]C1=NC2=CC=CC=C2S1)([S]C1=NC2=CC=CC=C2S1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][Ru-4]([C]#[O+])([S]C1=NC2=CC=CC=C2S1)([S]C1=NC2=CC=CC=C2S1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
O=C(O)C1=CC=[N+]2C(=C1)C1=CC(C(=O)O)=CC=[N+]1[Os-4]2([Br])([Br])([C]#[O+])[C]#[O+]	chelate_all_configs_failed	octahedron
[O+]#[C][Ru-4]([C]#[O+])([S]C1=NC2=CC=CC=C2S1)([S]C1=NC2=CC=CC=C2S1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][Ru-4]([C]#[O+])([S]C1=NC2=CC=CC=C2S1)([S]C1=NC2=CC=CC=C2S1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][Ru-4]([C]#[O+])([S]C1=NC2=CC=CC=C2S1)([S]C1=NC2=CC=CC=C2S1)([N+]1=CC=CC=C1)[N+]1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
O=C1[O][Ti-3]23([F])([F])([O][O]2)[O]C(=O)C2=[N+]3C1=CC=C2	f1_structqual_rejected	extra_fragments(6 comps, sizes=[2, 1, 1, 1, 1, 1])
CN1C2=CC=CC=C2C=[N+]1[Ru-3]([Cl])([Cl])([Cl])([Cl])[C]#[O+]	self_gate_failed	cn=6 geom=OC-6 octahedron
CN1C2=CC=CC=C2C=[N+]1[Ru-3]([Cl])([Cl])([Cl])([Cl])[C]#[O+]	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
CP(C)CC1(C)C[P+](C)(C)[Cr-4]2([Cl])([Cl])([P+](C)(C)C1)[P+](C)(C)CC(C)(CP(C)C)C[P+]2(C)C	chelate_all_configs_failed	octahedron
C[P+]1(C)C2=CC=CC=C2[P+](C)(C)[Ni-3]12([Cl])([Cl])[P+](C)(C)C1=CC=CC=C1[P+]2(C)C	chelate_all_configs_failed	octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
O=[N+]1[O][Cd-6]23([OH2+])([N+]45CC[NH+](CC4)CC5)([O]1)([O][N+](=O)[O]2)[O][N+](=O)[O]3	chelate_all_configs_failed	square_antiprism
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
C[P+]1(C)CC[P+](C)(C)[Fe-4]123([S]CC[S]2)[P+](C)(C)CC[P+]3(C)C	chelate_all_configs_failed	octahedron
O=C1[O][Rh-3]([Cl])([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)[O]C1=O	f1_structqual_rejected	extra_fragments(2 comps, sizes=[24, 2])
O=C1[O][Rh-3]([Cl])([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)([N+]2=CC=CC=C2)[O]C1=O	chelate_all_configs_failed	octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1=CC(C)=[N+]([RuH-4]([Cl])([C]#[O+])([As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[As+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)N1	self_gate_failed	cn=6 geom=OC-6 octahedron
CCCCP(=[C+][Mo+]([O-])([O-])([C]1=C(C)C=C(C)C=C1C)[C]1=C(C)C=C(C)C=C1C)(CCCC)CCCC	self_gate_failed	cn=5 geom=TBP-5 trigonal bipyramid
CC(C)[P+]1(C(C)C)CC[P+](C(C)C)(C(C)C)[Ni-2]1([CH3])[F]	chelate_all_configs_failed	square_planar
CC1=CC(C)=C([N]2CC3(C)C[N](C4=C(C)C=C(C)C=C4C)[Hf-]2([Cl])([CH](C)C)[N+]2=CC=CC=C23)C(C)=C1	chelate_all_configs_failed	trigonal_bipyramid
C[P+]1(C)CC[P+](C)(C)[W-4]12([N]=O)([O]C(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C)(C)CC[P+]2(C)C	chelate_all_configs_failed	octahedron
CC1=CC=C2C=CC3=C4C2=[N+]1[IrH-3]([Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)([Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)([P+](OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1)[N+]4=C(C)C=C3	chelate_all_configs_failed	octahedron
O=C1C2=CC=CC=[N+]2[Rh-3]2([OH2+])([Cl])([N]1C1=CC=C(Cl)C=C1)[N](C1=CC=C(Cl)C=C1)C(=O)C1=CC=CC=[N+]12	chelate_all_configs_failed	octahedron
CC(C)(C)[P+]1(C(C)(C)C)CC(C(F)(F)F)(C(F)(F)F)[O][IrH-3]12([N+]1=CC=C(N3CCCC3)C=C1)[O]C(C(F)(F)F)(C(F)(F)F)C[P+]2(C(C)(C)C)C(C)(C)C	chelate_all_configs_failed	octahedron
[Cl][Mo-]1([Cl])([Cl])([O+]2CCCC2)[N][S]=N[S]=[N]1	chelate_all_configs_failed	octahedron
CCO[P+](OCC)(OCC)[W-7]1([C]#[O+])([C]#[O+])([C]#[O+])(<-[C+](C(=O)OC)=[C+]->1C(=O)OC)[P+](OC)(OC)OC	chelate_all_configs_failed	pentagonal_bipyramid
CO[P](=O)(OC)[Os-]12345([I])([P](=O)(OC)OC)[C]6=[C]1[C]2=[C]3[C]4=[C]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
CO[P](=O)(OC)[Os-]12345([I])([P](=O)(OC)OC)[C]6=[C]1[C]2=[C]3[C]4=[C]65	self_gate_failed	cn=4 geom=HALF-SANDWICH-9 eta6+L3
CC(C)(C)[N+]#[C][Co-5]123([C]#[N+]C(C)(C)C)[N](CCC[N]1C(=O)C(C)(C)[SH+]2=O)C(=O)C(C)(C)[SH+]3=O	chelate_all_configs_failed	octahedron
CC(C)=[O+][IrH-3]1([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([P+](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[C]2=CC=CC=C2C=[N+]1CC1=CC=CC=C1	chelate_all_configs_failed	octahedron
CC1=CC(C)=[N+](C2=C(C(C)C)C=CC=C2C(C)C)[V-6]23456(<-[C+]7([B-](C8=CC=CC=C8)(C8=CC=CC=C8)C8=CC=CC=C8)[C+]2[C+]3[C+]4[C+]5[C+]76)[N]1C1=C(C(C)C)C=CC=C1C(C)C	chelate_polya_no_configs	trigonal_planar
[Cl][Co-3]1234[NH2+]CC[S+]1CC[S+]2CC[S+]3CC[NH2+]4	chelate_all_configs_failed	octahedron
C[N+]12CC[O][Ti-2]134([O]CC[N+]3(C)C1CCCCC1[O]4)[O]C1CCCCC12	chelate_all_configs_failed	octahedron
[O-]C1=[O+][Co-3]234([O+]=C(O)C1)[NH+]1CC[NH+]2CC[NH+]3CC[NH+]4CC1	chelate_all_configs_failed	octahedron
[Cl][Pd-2]123([Cl])[NH+]4CCC[NH+]1CC[NH+]2CCC[NH+]3CC4	chelate_all_configs_failed	octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
CC1[NH2+][RuH-4]2([Cl])([NH2+]C(C)C(C3=CC=CC=C3)[P+]2(C2=CC=CC=C2)C2=CC=CC=C2)[P+](C2=CC=CC=C2)(C2=CC=CC=C2)C1C1=CC=CC=C1	chelate_all_configs_failed	octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
[CH3][Sn]([CH3])([CH3])[Ir]123456([C]7=[C]1C1CC7[C]2=[C]13)[C]1=[C]4C2CC1[C]5=[C]26	f1_structqual_rejected	extra_fragments(6 comps, sizes=[14, 1, 1, 1, 1, 1])
[O+]#[C][IrH-3]([OH2+])([Cl])([P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	self_gate_failed	cn=6 geom=OC-6 octahedron
