Compound;SMILES;E_00_calc_adjusted;E_00_exp;delta_E_00_adjusted;E_red_calc_adjusted;E_red_exp;delta_E_red_adjusted;E_ox_calc_adjusted;E_ox_exp;delta_E_ox_adjusted;E_red*_calc_adjusted;E_red*_exp;delta_E_red*_adjusted;E_ox*_calc_adjusted;E_ox*_exp;delta_E_ox*_adjusted
Ir_44;Cl[Ir+]([N]1=C2C=C(C(C)(C)C)C=C1)([N]3=C4C=C(C(C)(C)C)C=C32)([N]5=CC(C)=CC=C56)([N]7=CC=C(C(C)(C)C)C=C74)C8=C6C(F)=CC(F)=C8;2,403148148;2,41;-0,006851852;-1,182777778;-1,18;-0,002777778;1,644814815;1,87;-0,225185185;1,233888889;1,22;0,013888889;-0,732222222;-0,54;-0,192222222
Ir_45;Cl[Ir+]([N]1=C2C=C(C(C)(C)C)C=C1)([N]3=C4C=C(C(C)(C)C)C=C32)([N]5=CC(C)=CC=C56)([N]7=CC=C(C(C)(C)C)C=C74)C8=C6C(F)=C(F)C(F)=C8F;2,453148148;2,49;-0,036851852;-1,162777778;-1,19;0,027222222;1,644814815;1,88;-0,235185185;1,303888889;1,3;0,003888889;-0,782222222;-0,61;-0,172222222
Ir_53;C[N+]1=C2[Ir-]34([N]5=C(C=CC=C5)C6=C4C=CS6)(C7=[N+](C)C=CN7CN2C=C1)[N](C=CC=C8)=C8C9=C3C=CS9;2,343148148;2,43;-0,086851852;-2,062777778;-1,76;-0,302777778;1,074814815;0,84;0,234814815;0,293888889;0,67;-0,376111111;-1,242222222;-1,59;0,347777778
Ir_35;FC1=CC(F)=CC2=C1C3=CC=C(C(F)(F)F)C=[N]3[Ir+]4([N]5=CC=C(C(F)(F)F)C=C5C6=[N]4C=CC(C(F)(F)F)=C6)(C7=CC(F)=CC(F)=C78)2[N]9=C8C=CC(C(F)(F)F)=C9;2,473148148;2,44;0,033148148;-0,772777778;-0,79;0,017222222;1,774814815;1,93;-0,155185185;1,713888889;1,65;0,063888889;-0,672222222;-0,51;-0,162222222
Ir_34;FC1=CC(F)=CC2=C1C3=CC=C(C(F)(F)F)C=[N]3[Ir+]4([N]5=CC(F)=CC=C5C6=[N]4C=C(F)C=C6)(C7=CC(F)=CC(F)=C78)2[N]9=C8C=CC(C(F)(F)F)=C9;2,663148148;2,77;-0,106851852;-1,262777778;-1,16;-0,102777778;1,774814815;1,87;-0,095185185;1,413888889;1,61;-0,196111111;-0,862222222;-0,9;0,037777778
Ir_49;CCCC[N]1=C2[Ir-]34([N]5=C(SC6=C5C=CC(C(F)(F)F)=C6)C7=CC=CC=C47)(C8=[N](CCCC)C=CN8CN2C=C1)[N](C(C=CC(C(F)(F)F)=C9)=C9S%10)=C%10C%11=C3C=CC=C%11;2,463148148;2,5;-0,036851852;-1,572777778;-1,52;-0,052777778;1,404814815;1,23;0,174814815;0,903888889;1,03;-0,126111111;-1,032222222;-1,27;0,237777778
Ir_52;CCCC[N+]1=C2[Ir-]34([N]5=C(C(C=CC=C6)=C6C=C5)C7=C4C=CS7)(C8=[N+](CCCC)C=CN8CN2C=C1)[N](C=CC9=C%10C=CC=C9)=C%10C%11=C3C=CS%11;1,943148148;2,1;-0,156851852;-1,612777778;-1,66;0,047222222;1,114814815;0,88;0,234814815;0,343888889;0,44;-0,096111111;-0,802222222;-1,22;0,417777778
Ir_51;CC(C1=C2C=CC=C1)(C)C(C2=C3)=CC4=C3[Ir-]56([N]7=C(C=CC=C7)C8=CC9=C(C(C=CC=C%10)=C%10C9(C)C)C=C58)(C%11=[N+](C)C=CN%11CN%12C6=[N+](C)C=C%12)[N]%13=C4C=CC=C%13;2,373148148;2,47;-0,096851852;-1,932777778;-1,97;0,037222222;1,054814815;0,96;0,094814815;0,453888889;0,5;-0,046111111;-1,292222222;-1,51;0,217777778
Ir_50;CCCC[N+]1=C2[Ir-]34([N]5=C(C(C=CC=C6)=C6C=C5)C7=CC8=C(C=CC=C8)C=C47)(C9=[N+](CCCC)C=CN9CN2C=C1)[N](C=CC%10=C%11C=CC=C%10)=C%11C%12=C3C=C%13C(C=CC=C%13)=C%12;1,913148148;2,15;-0,236851852;-1,432777778;-1,54;0,107222222;1,044814815;0,82;0,224814815;0,503888889;0,61;-0,106111111;-0,842222222;-1,33;0,487777778
Ir_54;FC(F)(F)C1=C[N]([Ir+]23([N]4=CC=CC=C4C5=[N]3C=CC=C5)(C6=CC(F)=CC(F)=C67)[N]8=CC(C(F)(F)F)=CC=C8C9=C2C=C(F)C=C9F)=C7C=C1;2,653148148;2,69;-0,036851852;-1,202777778;-1,37;0,167222222;1,684814815;1,69;-0,005185185;1,463888889;1,32;0,143888889;-0,942222222;-1;0,057777778
Cu_2;CC1(C)C2=CC=CC([P+](C3=CC=CC=C3)(C4=CC=CC=C4)[Cu-3]56[N+]7=C8C(C=CC9=C8[N+]5=C(C(C)C)C=C9)=CC=C7C(C)C)=C2OC%10=C([P+]6(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=CC=C%101;2,663148148;2,77;-0,106851852;-1,772777778;-1,73;-0,042777778;1,024814815;1,34;-0,315185185;0,903888889;1,04;-0,136111111;-1,612222222;-1,43;-0,182222222
Cu_4;CC1=CC(C2=CC=CC=C2)=C(C=C3)C4=[N+]1[Cu-3]5([P+](C6=CC=CC=C6)(C7=CC=CC=C7)C8=C(OC9=C([P+]5(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=CC=C9)C=CC=C8)[N+]%12=C(C)C=C(C%13=CC=CC=C%13)C3=C4%12;2,533148148;2,27;0,263148148;-1,662777778;-1,64;-0,022777778;0,964814815;1,22;-0,255185185;0,893888889;0,63;0,263888889;-1,542222222;-1,02;-0,522222222
Ru_1;[N]12=CC=CC=C1C(C=CC=C3)=[N]3[Ru+2]24([N]5=CC=CC=C5C6=[N]4C=CC=C6)([N]7=CC=CC=C78)[N]9=C8C=CC=C9;2,383148148;2,1;0,283148148;-1,232777778;-1,33;0,097222222;1,294814815;1,29;0,004814815;1,163888889;0,77;0,393888889;-1,072222222;-0,81;-0,262222222
Ru_3;[N]12=CC=CC(C=C3)=C1C(C3=CC=C4)=[N]4[Ru+2]25([N]6=CC=CC7=C6C8=[N]5C=CC=C8C=C7)([N]9=CC=CC(C=C%10)=C9%11)[N]%12=C%11C%10=CC=C%12;2,333148148;2,18;0,153148148;-1,282777778;-1,36;0,077222222;1,314814815;1,26;0,054814815;1,063888889;0,82;0,243888889;-0,992222222;-0,87;-0,122222222
Ru_4;[N]12=CC=NC=C1C(C=NC=C3)=[N]3[Ru+2]24([N]5=CC=NC=C5C6=[N]4C=CN=C6)([N]7=CC=NC=C78)[N]9=C8C=NC=C9;2,423148148;2,12;0,303148148;-0,522777778;-0,8;0,277222222;2,104814815;1,86;0,244814815;1,913888889;1,45;0,463888889;-0,292222222;-0,26;-0,032222222
Ir_48;CCCC[N+]1=C2[Ir-]34([N]5=C(C=CC=C5)C6=CC7=C(C(C=CC=C8)=C8C7(C(CCCCC)=O)C(CCCCC)=O)C=C46)(C9=[N+](CCCC)C=CN9CN2C=C1)[N](C=CC=C%10)=C%10C%11=C3C=C%12C(C(C(CCCCC)=O)(C(CCCCC)=O)C%13=C%12C=CC=C%13)=C%11;2,363148148;2,24;0,123148148;-1,932777778;-1,8;-0,132777778;1,104814815;0,98;0,124814815;0,453888889;0,44;0,013888889;-1,232222222;-1,26;0,027777778
Ru_2;CC(C=C12)=CC=[N]1[Ru+2]3([N]4=CC=C(C)C=C4C5=[N]3C=CC(C)=C5)([N]6=CC=C(C)C=C67)([N]8=C2C=C(C)C=C8)[N]9=C7C=C(C)C=C9;2,383148148;2,06;0,323148148;-1,252777778;-1,43;0,177222222;1,104814815;1,14;-0,035185185;1,143888889;0,63;0,513888889;-1,252222222;-0,92;-0,332222222
