Compound;SMILES;E_ox_calc;E_ox_exp;delta_E_ox;Ref.
148;COC1=CC=CC(OC)=C1OC;1,134029512;1,42;-0,28;A30
149;COC1=CC=C(OC)C=C1OC;0,886670867;1,12;-0,23;A30
150;COC1=CC(OC)=CC(OC)=C1;1,441297776;1,49;-0,05;A30
151;C1COCCO1;2,031939627;2,24;-0,21;A7
152;COC1=CC=C(C2CC2)C=C1;1,267961441;1,35;-0,08;A4
153;COC(C1)C1C2=CC=CC=C2;1,228348052;1,46;-0,23;A4
154;C12(CC3CC1CC(C3)C2)OC;2,19288358;2,38;-0,19;A8
155;CCC1=CC=C(OC)C=C1;1,466266217;1,46;0,01;A11
156;C12=CC=CC=C1OCO2;1,344927762;1,42;-0,07;A11
157;C=CC=O;;-1,49;1,49;A10
158;O=CC1=CC=CC=C1;;-1,68;1,68;A10
159;O=C(C)C1=CC=CC=C1;;-1,85;1,85;A10
160;CC1=CC(C)=C(C)C=C1OC;1,195965842;1,95;-0,75;A11
161;OC(C1=CC=C(OCO2)C2=C1)=O;1,598976622;1,63;-0,03;A11
162;O=CC1=CC=C(OCO2)C2=C1;1,619055432;1,65;-0,03;A11
163;COC1=CC=C(CC(O)=O)C=C1;1,567474432;1,57;0,0;A11
164;CC(C)(C)C(C)=O;2,341364673;2,42;-0,08;A16
165;CC(C)C(C)=O;2,448649757;2,51;-0,06;A16
166;CC(C)C(C(C)C)=O;2,328960318;2,4;-0,07;A16
167;O=COC1=CC=CC=C1;2,294400374;1,97;0,33;A7
168;O=C(OC)/C=C\C(OC)=O;;-1,53;1,53;A6
169;C=CC(OC)=O;;-2,1;2,1;A6
170;CC(C)(C)[N+]([O-])=O;;-1,79;1,79;A5
171;CCCC[N+]([O-])=O;;-1,67;1,67;A5
172;CC[N+]([O-])=O;;-1,64;1,64;A5
173;C[N+]([O-])=O;;-1,63;1,63;A5
174;O=[N+](C1=CC=CC=C1)[O-];;-1,19;1,19;A5
175;CC(C=C1)=CC=C1[N+]([O-])=O;;-1,21;1,21;A5
176;CC(C=C1)=CC=C1C2CC2;1,589898327;1,97;-0,38;A4
177;ClC1=CC=CC=C1;2,383658122;2,4;-0,01;A36
178;CC1=CC=C(Cl)C=C1;2,082957622;2,09;-0,01;A36
179;C12(CC3CC1CC(C3)C2)F;2,963939201;2,97;0,0;A8
180;ClC12CC3CC(CC1C3)C2;2,558051078;2,97;-0,41;A8
181;CN(C)C=O;2,142333351;2,29;-0,15;A29
182;CN(C)C(C)=O;1,914756094;2,09;-0,17;A7
183;CN(C)C(C1=CC=CC=C1)=O;1,983666455;2,04;-0,05;A29
184;CC(N1CCCCC1)=O;1,898087972;1,88;0,02;A28
185;O=C(OC)N1CCCCC1;1,9331116;1,96;-0,02;A28
186;C=CC[Si](C)(C)C;1,6516986;1,5;0,15;A24
187;CC(C)=CC[Si](C)(C)C;1,191851738;1,39;-0,2;A24
188;C=C(OCC)O[Si](C)(C)C;1,067854449;1,28;-0,21;A24
189;CCOC(O[Si](C)(C)C)=C(C)C;0,526496404;0,9;-0,37;A24
190;[SiH3]C1=CC=CC=C1;2,529385413;2,39;0,14;A37
191;CC1=CC=C([SiH3])C=C1;2,199103853;2,27;-0,07;A37
192;CC1=CC(C)=C([SiH3])C=C1;2,052913423;2,2;-0,15;A37
193;CC1=C(C)C=C([SiH3])C=C1;2,02667094;2,17;-0,14;A37
194;CC1=CC(C)=C(C)C=C1[SiH3];1,819389368;2,12;-0,3;A37
195;CC1=CC(C)=C([SiH3])C(C)=C1;1,949492914;2,17;-0,22;A37
196;CC1=CC(C)=C(C)C([SiH3])=C1C;1,596283774;1,96;-0,36;A37
197;CC1=C(C)C(C)=C([SiH3])C(C)=C1C;1,511039992;1,87;-0,36;A37
198;CSC1=CC=C([SiH3])C=C1;1,495753397;1,59;-0,09;A37
199;CN(C)C1=CC=C([SiH3])C=C1;0,919850373;1,07;-0,15;A37
200;COC1=CC(C)=C([SiH3])C=C1;1,68608684;1,95;-0,26;A37
201;C[Si](C)(C)CC1=CC=CC=C1;1,664191936;1,38;0,29;A24
202;C[Si](C)(C)CSC1=CC=CC=C1;1,223300049;1,48;-0,25;A22
203;C[Si](C)(C)CNC1=CC=CC=C1;0,57686867;0,77;-0,19;A22
204;[SiH3]C1=CC=CC([SiH3])=C1;2,533871498;2,41;0,13;A37
205;CC1=CC([SiH3])=C(C)C=C1[SiH3];2,035862163;2,19;-0,15;A37
206;CCCS;2,139619006;1,47;0,67;A26
207;SCCCC;2,108147564;1,67;0,44;A7
208;CSC;1,644229048;1,53;0,12;A7
209;CCSCC;1,696909392;1,68;0,02;A7
210;CC1(C)C2C(C)(C)C21SC;1,072870886;0,96;0,11;A3
211;CC1(C)[C@@]2(SC)C(C)(C)[C@]21SC;;0,57;-0,57;A3
212;CS(C)=O;1,729613785;2,0;-0,27;A7
213;CS(N(C)C)(=O)=O;1,91869931;2,07;-0,15;A28
214;C1=CNC=C1;1,353477882;1,09;0,27;A26
215;C1=CC=NC=C1;2,353767395;2,15;0,21;A26
216;C1=CSC=C1;2,073371832;1,93;0,15;A26
217;CC(C)(C)C1=CC=CN1;1,106996808;1,12;-0,01;A38
218;[O-][N+]1=CC=C([N+]([O-])=O)C=C1;2,183531809;2,13;0,06;A17
219;[O-][N+]1=CC=C(C#N)C=C1;2,054288147;2,27;-0,21;A17
220;[O-][N+]1=CC(C#N)=CC=C1;1,986444748;2,01;-0,02;A17
221;[O-][N+]1=CC=C(Cl)C=C1;1,631647546;1,79;-0,16;A17
222;[O-][N+]1=CC=CC=C1;1,635753759;1,8;-0,16;A17
223;[O-][N+]1=CC=C(C)C=C1;1,422183613;1,61;-0,19;A17
224;[O-][N+]1=CC(C)=CC=C1;1,564323886;1,79;-0,22;A17
225;[O-][N+]1=CC=C(OC)C=C1;1,112774078;1,36;-0,25;A17
226;[O-][N+]1=CC=C(N(C)C)C=C1;0,537816109;0,76;-0,22;A17
227;[O-][N+]1=CC=C(NC(C)=O)C=C1;1,131287139;1,32;-0,19;A17
228;[O-][N+]1=CC(OC)=CC=C1;1,553076836;1,72;-0,16;A17
229;[O-][N+]1=CC(Cl)=CC=C1;1,81679312;1,9;-0,08;A17
230;[O-][N+]1=CC(C(OCC)=O)=CC=C1;1,788521477;1,92;-0,13;A17
231;[O-][N+]1=CC=C(C(OCC)=O)C=C1;1,895766832;1,98;-0,08;A17
232;[O-][N+]1=CC=C(CC)C=C1;1,441323899;1,57;-0,13;A17
233;C1(C2=CC=CN2)=CC=CN1;0,507460066;0,6;-0,09;A38
234;CC1=CC=C(C2=CC=CN2)N1;0,330297525;0,46;-0,13;A38
235;CC1=CC=C(C2=CC=C(C)N2)N1;0,211109594;0,3;-0,09;A38
236;CC1=NC2=C(N1)C=CC=C2;1,700421033;1,38;0,32;A11
237;CC1=[N+](C)C2=C(N1C)C=CC=C2;;2,3;-2,3;A11
238;C12=CC=CC=C1N=CC=C2;2,100634473;2,0;0,1;A7
239;CC[N+]1=CC=CC2=CC=CC=C21;;2,58;-2,58;A11
240;C1=CN=CN=N1;;-1,63;1,63;A13
241;CC1=NC=CN=N1;;-1,7;1,7;A13
242;O=C(OC)C1=NC=CN=N1;;-1,42;1,42;A13
243;O=C(OC)C1=NC(C)=C(C)N=N1;;-1,66;1,66;A13
244;N1=CN=NC=N1;;-0,87;0,87;A13
245;CC1=NN=C(C)N=N1;;-1,03;1,03;A13
246;C1(C2=CC=CC=C2)=NN=CN=N1;;-0,89;0,89;A13
247;NN(C)C;0,010649669;0,19;-0,18;A33
248;CN(C)N(C)C;0,041330617;0,28;-0,24;A18
249;CN(CC)N(C)C;0,061461944;0,27;-0,21;A18
250;CN(N(C)C)CCC;0,085010762;0,27;-0,18;A18
251;CN(N(C)C)CCCC;0,09697674;0,27;-0,17;A18
252;CCN(N(C)C)CC;0,08781028;0,26;-0,17;A18
253;CN(C)N(CCC)CCC;0,173524821;0,25;-0,07;A18
254;CN(N(C)CC)CC;0,089954545;0,26;-0,17;A18
255;CN(N(C)C(C)(C)C)C;0,229510271;0,44;-0,21;A18
256;CN(N(C)C(C)(C)C)C(C)(C)C;0,459845684;0,52;-0,06;A18
257;CN(C)N1CCCC1;-0,252146867;0,12;-0,37;A18
258;CN(C)N1CCCCC1;0,109956618;0,31;-0,2;A18
259;N1(N2CCCC2)CCCC1;-0,32334136;-0,03;-0,29;A18
260;N1(CCCCC1)N2CCCC2;-0,183394333;0,15;-0,33;A18
261;N12CCCN1CCC2;-0,359269226;0,03;-0,39;A18
262;CN1CCCN1C;-0,263961549;0,06;-0,32;A18
263;CN1[C@H]2CC[C@H](CC2)N1C;-0,284305126;0,1;-0,38;A18
264;CN1[C@@H](C)CC[C@@H](C)N1C;-0,011084687;0,15;-0,16;A18
265;CN1CCCCN1C;0,782148837;0,18;0,6;A18
266;CN1CC=CCN1C;0,049991488;0,28;-0,23;A32
267;N12CCCCN1CCCC2;-0,034129004;0,23;-0,26;A18
268;N12CC=CCN1CC=CC2;0,117835975;0,3;-0,18;A32
269;CCN1N(CC)COC1;0,306854832;0,56;-0,25;A32
270;CN1N(C)CN(C)N(C)C1;0,060056199;0,32;-0,26;A32
271;[C@H]12CC[C@@H](N=N2)C1;1,876869545;1,97;-0,09;A23
272;CC1(C)[C@@H]2CC[C@H]1N=N2;1,800709773;1,85;-0,05;A23
273;C[C@]12CC[C@](N=N2)(C)C1;1,634122703;1,59;0,05;A23
274;[C@H]12CC[C@@H](CC2)N=N1;1,321575683;1,45;-0,13;A23
275;C[C@@]1(CC2)CC[C@@]2(C)N=N1;1,21404624;1,34;-0,12;A23
276;CC1(C)CC(C)(C(OC)=O)N=N1;1,942486229;2,05;-0,11;A23
277;[C@H]12C=C[C@@H](C2)[C@@H]3[C@H]1N=N3;2,008222642;2,3;-0,29;A23
278;CN(C)N=NN(C)C;0,159098108;0,41;-0,25;A19
279;CCN(CC)N=NN(CC)CC;0,160536507;0,32;-0,16;A19
